,link,id,host,date
66,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regimo-lausanne-865/studio-etudiants-proche-flon-student-home-255472
",255472,"Immobilier
","2020-02-23
"
67,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regimo-lausanne-865/deux-pas-chuv-cite-255722
",255722,"Immobilier
","2020-02-23
"
68,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/privera-lausanne-972/charment-2-pieces-mezzanine-balcon-255767
",255767,"Immobilier
","2020-02-23
"
69,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/appartement-moderne-centre-ville-257613
",257613,"Immobilier
","2020-02-23
"
70,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/abonnement-offert-annee-parking-votre-1er-loyer-257990
",257990,"Immobilier
","2020-02-23
"
71,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/quartier-blecherette-258752
",258752,"Immobilier
","2020-02-23
"
72,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/chemin-diablerets-2-1012-lausanne-258878
",258878,"Immobilier
","2020-02-23
"
73,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/golay-immobilier-260/loft-grand-standing-env-112-259394
",259394,"Immobilier
","2020-02-23
"
74,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/espace-luminosite-260683
",260683,"Immobilier
","2020-02-23
"
75,"https://www.immobilier.ch/fr/louer/appartement/vaud/prilly/galland-cie-254/appartement-neuf-4-pieces-balcon-vue-lac-261409
",261409,"Immobilier
","2020-02-23
"
76,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/st-clerc-immobilier-785/magnifique-appartement-45-pieces-vue-imprenable-lac-261725
",261725,"Immobilier
","2020-02-23
"
77,"https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/bd-gerance-773/ecublens-appartement-25-pieces-chf-1-42500-charges-comprises-263113
",263113,"Immobilier
","2020-02-23
"
78,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regimo-lausanne-865/unique-etudiants-proche-epfl-universite-metro-263232
",263232,"Immobilier
","2020-02-23
"
79,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/proche-lausanne-263800
",263800,"Immobilier
","2020-02-23
"
80,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-pieces-4eme-etage-lausanne-26391
",26391,"Immobilier
","2020-02-23
"
81,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/wincasa-siege-602/votre-appartement-proche-toutes-commodites-264463
",264463,"Immobilier
","2020-02-23
"
82,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/proche-toutes-commodites-centre-ville-quartier-sous-gare-265701
",265701,"Immobilier
","2020-02-23
"
