,Availability,Year,Floor,LoyerNet,Charges,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description
682,avril 2020										</span>,1971,1,1820,150,93,Avenue Parc-de-la-Rouvraie 26,1018,Lausanne,46.5284781,6.6347306,2,1,1,1,1,1,1,0,0,0,"<p>Appartement spacieux, situé dans les hauts de Lausanne. Il saura vous séduire par ses caractéristiques suivantes : <br><br>- Séjour avec du parquet <br>- Cuisine fermée entièrement agencée<br>- 2 Chambres à coucher avec du parquet <br>- Salle-de-bain<br>- WC séparés<br>- Cagibi<br>- Hall<br>- Balcon<br>- Cave, ascenseur <br><br>Vous rejoindrez le centre-ville de Lausanne en moins de 15 minutes à pied en traversant notamment le parc de l'Hermitage. <br><br>Avons-nous éveillé votre intérêt? Alors ne vous gênez pas de prendre contact avec le locataire actuel afin de fixer une visite.</p>"
683,maintenant										</span>,-1,5,1250,80,30,Passage Montriond 4,1006,Lausanne,46.515752,6.626397,0,0,1,0,0,1,0,0,0,0,<p>Centre ville - balcon - cuisine - ascenseur</p>
684,avril 2020										</span>,-1,0,1150,90,40,Avenue de Morges 171,1004,Lausanne,46.526267,6.610038,0,0,0,0,0,0,0,0,0,0,"<p><br>A proximité de commerces, centres commerciaux et transports publics<br><br>1 pièce avec cuisne agencée et salle de d'eau</p>"
685,No info,-1,-1,1600,-1,70,,,-1,-1.0,-1.0,0,0,0,1,0,0,0,0,0,0,"<p>-<br><br>Cette offre de BETTERHOMES se caractérise par les avantages suivants: <br>-<br><br><br>Intéressé? Contactez-nous pour une visite gratuite!<br>Rien qui correspond? Vous trouverez plus de 3'300 autres objets sur: www.betterhomes.ch - Le spécialiste suisse des transactions immobilières.<br><br>Vous avez un bien immobilier à commercialiser?<br>Profitez de notre savoir-faire: https://www.betterhomes.ch/fr/profiter<br><br><br>Plus détails<br>Situation: -<br><br>Salles de bain: 1 x baignoire/WC/machine à laver<br>Transport publics: bus, 2min à pieds<br>Ecole: Primaire et secondaire, 10 min à pieds<br>Commerces: Migros et COOP, 10 min à pieds<br></p>"
686,juillet 2020										</span>,-1,-1,4000,200,150,Avenue de Béthusy 75,1012,Lausanne,46.5251633,6.6494947,3,0,1,3,0,1,1,0,0,0,"<p>Logé au dernier étage d’un immeuble entièrement rénové il y a quelques années, cet appartement avec accès direct en ascenseur bénéficie d'une belle situation dans le quartier de Chailly et se situe à 10 minutes à pied du centre-ville de Lausanne.<br><br>L'appartement comprend :<br>• 1 salon/ salle-à-manger avec cheminée<br>• 2 chambres à coucher<br>• 1 chambre à coucher avec salle-de-bains attenante <br>• 1 salle-de-douche/WC<br>• 1 WC avec lavabo et buanderie (colonne lave-linge + sèche-linge)<br>• Cuisine entièrement agencée (deux fours, cuisinière à induction, réfrigérateur, congélateur, lave-vaisselle, hotte de ventilation, plan de travail en granit)<br>• Terrasse<br>• Penderie<br>• Cave<br>• Deux parking intérieurs à CHF 250.-/mois<br>• local vélos</p>"
687,avril 2020										</span>,-1,5,3200,280,89,,,-1,46.5168691,6.6424773,3,2,1,2,1,2,0,0,0,0,"<p>Bel appartement récent de 3.5 pièces en duplex au 5ème étage situé en centre-ville à l'Avant-Poste 4 à Lausanne. Le bien est composé comme suit :<br><br>- hall<br>- 2 chambres à coucher<br>- cuisine complètement agencée et ouverte sur le séjour<br>- magnifique séjour lumineux<br>- salle de bains avec colonne de lavage<br>- salle de douche communicante avec une des chambres<br>- balcon terrasse avec belle vue sur le lac<br><br>Ce bien est proposé à CHF 3'200.00/mois avec CHF 280.00 de charges. Une place de parking complète ce bien au prix de CHF 220.00/mois en sus.<br><br>Pour les visites, nous vous remercions de contacter les locataires en place.</p>"
688,No info,-1,5,1576,-1,62,Rue Centrale 8-10,1003,Lausanne,46.5207587,6.6333467,0,0,0,0,0,0,0,0,0,0,"<p>Ce bureau d'environ 62m2 se situe au 5ème étage d'un immeuble prestigieux de la rue Centrale à Lausanne. Un excellant emplacement pour donner grande visibilité à votre société/cabinet/étude.<br><br>Il se caractérise par les avantages suivants:<br><br>- Bien situé au centre ville;<br>- Proche de toutes commodités, bus et ligne du metro M2 (Flon); à deux pas de la Place St-François et 10 min à pied de la gare;<br>- Commerces et restaurants au pied de l'immeuble. <br><br>Pour une visite merci d'appeler le</p>"
689,mai 2020										</span>,1952,4,2580,385,138,,,-1,46.5176248,6.6392446,4,1,1,3,1,2,0,0,0,0,"<p>A louer magnifique appartement comprenant :<br><br>- Salon avec cheminée<br>- Cuisine entièrement agencée<br>- Coin à manger<br>- Hall avec armoires murales<br>- 4 chambres à coucher dont une avec salle de bains privative<br>- 1 salle de douche/wc<br>- 2 balcons<br><br>Une visite groupeé aura lieu le lundi 16 mars 2020, de 18h00 à 19h00. Merci de vous rendre directement sur place (appt de M. Bedulli).<br><br>Place intérieure à Fr. 250.-/mois disponible<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br><br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)<br>- Copie de la dernière fiche de salaire<br>- Copie de la carte d'identité ou du permis de séjour<br><br>Si notre annonce a éveillé votre curiosité, n’hésitez pas à nous contacter.</p>"
690,mars 2020										</span>,-1,6,2500,185,104,Avenue de Béthusy 19,1005,Lausanne,46.5212665,6.6442941,0,0,0,0,0,0,0,0,0,0,<p></p>
691,mars 2020										</span>,-1,3,1250,130,52,Aimée-Steinlen 9,1004,Lausanne,46.5337024,6.6114453,0,0,0,0,0,0,0,0,0,0,<p></p>
