,old,link,Announcer,Availability,ListingSpace,LoyerNet,Charges,LoyerBrut,Street,Zip,City,Latitude,Longitude,NearestStop,TimeToNearestStop
622,False,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/privamob-463/joli-35-pieces-balcon-garage-place-parc-377960,www.privamob.ch,2020-03-01,67,1680,120,1800,Chemin de Veilloud 56,1024,Ecublens,46.5297301,6.5643774000000015,Cerisaie,2.1521930761770394
646,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rilsa-288/appartement-3-pieces-1-2-1er-etage-8133m2-379716,www.rilsa.ch,2020-05-01,81,1850,-1,1849,Avenue de Sévelin 13,1004,Lausanne,46.5233149,6.613662599999999,Vigie,4.238767548559556
671,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/galland-cie-254/appartement-3-pieces-380142,www.regiegalland.ch,2020-04-01,190,1500,180,1680,Avenue de Morges 44,1004,Lausanne,46.5258537,6.6178238,Vigie,1.9385299561955136
692,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/plein-coeur-lausanne-380749,www.livit.ch,2020-05-01,93,1630,340,1970,Chemin des Aubépines 12,1004,Lausanne,46.5282831,6.6189232,Vigie,5.5414859421498885
700,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/rue-mercerie-20-1003-lausanne-380941,www.regieduboux.ch,2020-04-01,63,1600,110,1710,Rue de la Mercerie 20,1003,Lausanne,46.5215307,6.634377799999998,Lausanne-Flon,5.920090293972847
705,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/appartement-ideal-famille-381062,www.livit.ch,2020-05-01,76,1290,203,1493,Avenue de la Confrérie 14,1004,Lausanne,46.5296778,6.6077052,Provence,7.6778433485805575
719,True,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-1-2-pieces-1er-etage-lausanne-41563,www.bernard-nicod.ch,2020-04-01,83,-1,260,259,Rue St-Roch 25,1004,Lausanne,46.524685,6.627621,Lausanne-Flon,6.475669727208321
749,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/appartement-3-1-2-pieces-2eme-etage-renens-82676,www.bernard-nicod.ch,2020-04-01,70,1500,210,1710,Avenue de Préfaully 78,1020,Renens,46.532974,6.582822,Renens,6.379002364671444
752,True,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/bernard-nicod-siege-400/appartement-3-1-2-pieces-5eme-etage-renens-94795,www.bernard-nicod.ch,2020-04-01,82,1780,200,1980,Place de la Gare 12C,1020,Renens,46.5347,6.579144,Renens,2.985203297200341
770,False,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/5-min-prilly-centre-joli-4-pieces-01042020-381979,www.realestate.apleona.ch,2020-02-26,75,1520,235,1755,,-1,,46.5302986,6.6077087,Provence,8.400000741856731
