,link,id,host,Latitude,Longitude,Street,Zip,City,Announcer,Availability,Charges,ConstructionYear,Description,Floor,ListingSpace,LoyerBrut,LoyerNet,Reference
513,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-2eme-etage-lausanne-375093,375093,Immobilier,46.5275725,6.6064472,Chemin de Renens 47,1004,Lausanne,www.bernard-nicod.ch,2020-03-01,200,-1,"Magnifique appartement de 3 pièces idéalement situé et proche de toutes les commodités.Il se compose comme suit:- Salon avec accès balcon- Chambre avec accès balcon et armoire murale- Chambre- WC séparé- Salle de bains spacieuse- Cuisine fermée- BalconPossibilité d'installer une machine à laver dans le WCPeintures vont être entièrement refaites, location à partir du 15.03.2020Pour les visites, veuillez contacter la locataire actuelle",2,57,1600,1400,011771.22.210
514,https://www.immobilier.ch/fr/louer/appartement/vaud/prilly/bernard-nicod-siege-400/appartement-3-pieces-1er-etage-prilly-375094,375094,Immobilier,46.5443436,6.605537,Chemin des Passiaux 39,1008,Prilly,www.bernard-nicod.ch,2020-03-01,170,-1,,1,68,-1,-1,000341.21.011
515,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-pieces-5eme-etage-lausanne-375095,375095,Immobilier,46.513941,6.6337268,Avenue de Montchoisi 9,1006,Lausanne,www.bernard-nicod.ch,2020-05-01,110,-1,"Magnifique appartement de 2 pièces idéalement situé sous-gare avec vue partielle sur le lac.Il se compose comme suit:- hall d'entrée avec armoires de rangement- petite cuisine- salon- chambre- salle de bainsVa être rénové sol et peinture + boiseries et WC remplacé. Relocation au 01.06.2020Pour les visites, veuillez prendre contact avec le locataire actuelpour la demande de location ou toute question, par mail à",5,41,1550,1440,010304.25.028
516,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/privera-lausanne-972/appartement-neuf-les-combles-plein-centre-ville-375098,375098,Immobilier,46.5228288,6.6285761,Rue Mauborget 10,1003,Lausanne,www.privera.ch,1970-01-01,350,-1,Ce magnifique appartement de pièces de 84 m2 situé dans les combles d'un immeuble classé historique se compose comme suit :,1,84,2990,2640,35111.10.440020
517,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/privera-lausanne-972/appartement-entierement-renove-centre-ville-lausanne-375102,375102,Immobilier,46.5228288,6.6285761,Rue Mauborget 10,1003,Lausanne,www.privera.ch,1970-01-01,250,-1,Ce magnifique appartement de pièces de 73 m2 situé au 1er étage d'un immeuble classé historique se compose comme suit :,4,84,1870,1620,35111.10.440010
518,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-rhone-lausanne-281/exclusif-appartement-atypique-35-pieces-centre-lausanne-375151,375151,Immobilier,46.5213955,6.6381593,Rue Caroline 15A,1003,Lausanne,www.regierhone.ch,1970-01-01,-1,-1,"Découvrez sans plus attendre cet objet rare sur le marché !Dans un style avant-gardiste atypique, cet appartement constitue un havre de paix à l'abri de toutes nuisances bien qu'étant en plein centre de Lausanne.Jouissant de la proximité de toutes les commodités il conviendra parfaitement à tous les amoureux d'un style de vie citadin.Il offre environ 160 m2 répartis sur 2 niveaux comme suit: Rez:- Un hall d'entrée avec rangements- Une chambre- Une salle de douches- Une cuisine ouverte entièrement équipée- Un séjour baigné de lumière offrant une vue époustouflante sur la Cathédrale Notre Dame de LausanneÉtage:- Une grande mezzanine pouvant faire office de bureau/salle TV/salle de jeux... comprenant de nombreux rangements- Un wc- Une salle de douches- Une grande chambre avec de grandes armoires intégréesL'appartement dispose d'une grande terrasse en rooftop avec une très belle vue dégagée.Une cave ainsi qu'une place de parc (en option) complètent agréablement ce bien.Le loyer se compose comme suit:Loyer: CHF 3'650.00Charges: CHF 300.00Parking: CHF 250.00",-1,160,-1,3650,R000170
519,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/superbe-appartement-375210,375210,Immobilier,-1.0,-1.0,1012 Lausann,-1,,www.bernard-nicod.ch,1970-01-01,200,-1,"Comprenant : Hall d'entrée avec cuisine agencée séparée, séjour spacieux et lumineux, grande chambre à coucher et salle de bains.Proximité : à 15 min en métro de la gare.",3,80,2200,2000,71SAO
520,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/livit-ag-real-estate-management-675/vous-cherchez-studio-meuble-375583,375583,Immobilier,46.5366378,6.5881085,Avenue du Temple 1-3,1020,Renens,www.livit.ch,2020-04-01,75,-1,"Nous louons dans un immeuble uniquement réservé aux étudiants de l'ECAL, de l'UNIL ou encore de l'EPFL un studio meublé qui comprend: - Coin cuisine avec 2 plaques de cuisson, un micro-ondes encastré, un petit réfrigérateur et un lave-vaisselle format 2 personnes- Canapé convertible en lit - Accès WIFI- Mobilier : 1 armoire, 2 fauteuils, 1 table, 2 chaises, un lit- Salle de doucheUne place de parc extérieure est disponible à un loyer de CHF 115.00 par mois. Toutefois, vous pourrez vous rendre en transports publics sur le campus universitaire grâce au métro M1 dont l'arrêt se situe à 10 minutes à pied du bâtiment. Dépêchez-vous, prenez contact avec nos services!",4,19,1200,1125,8289.01.0403
521,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/cogestim-lausanne-237/joli-appartement-rafraichit-3-pieces-2eme-etage-375616,375616,Immobilier,46.5329664,6.6133918,,-1,,www.cogestim.ch,2020-03-01,150,-1,"Joli appartement de 3 pièces au 2ème étage à saisir dès le 1er mars 2020.Actuellement, ce logement est en travaux (peinture, sols et cuisine).L'immeuble bénéficie d'un ascenseur. Des places de parc bleues sont présentes devant l'immeuble. CONTACT POUR VISITES : Cogestim SA, M. Sam JAN.EN CAS D'INTÉRÊT : Merci de bien vouloir remplir, signer et retourner le formulaire de demande de location, accompagné des documents demandés. Ledit formulaire est téléchargeable sur l'annonce de cet appartement, sur notre site www.cogestim.ch.",2,67,1850,1700,300264.01.12.021
522,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/cofideco-1316/lausanne-appartement-75-pieces-rez-chaussee-375676,375676,Immobilier,46.5152523,6.6434366,Avenue de Rumine 50,1005,Lausanne,www.cofideco.ch,1970-01-01,260,-1,"Un corridor, deux salles de bains, un wc séparé, une cuisine entièrement agencée fermée, cinq chambres à coucher, un salon avec une cheminée, une salle à manger, une véranda, une terrasse et un jardin.Une place de parc extérieure Fr. 150.-Quartier calme et verdoyantVue sur le Lac",0,200,4700,4440,co-223
523,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rudin-immobilier-sarl-1061/loft-grand-standing-deux-pas-gare-lausanne-clame-375692,375692,Immobilier,46.5182859,6.6259424,Avenue de Ruchonnet 15,1003,Lausanne,www.rudin-immobilier.ch,1970-01-01,180,2014,"Situé dans une rue commerçante, proche de la gare et du nouveau Musée cantonal des beaux-arts, des transports publics (bus et métro) et en face du Parking Montbenon.Ce magnifique loft de 2014 se compose comme suit :hallWC séparéCuisine agencéeChambre, mezzanineSalle de douche a l'italienne/WC avec colonne de lavageTerrasseLoyer brut : CHF 2'980.-Beaucoup de cachet, plafonds hauts, lumineux, matériaux de qualité.Place de parc intérieure possible",-1,112,2980,2800,455679
524,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-375700,375700,Immobilier,46.5355668,6.5799793,Place de la Gare,1020,Renens,www.omnia.ch,2020-08-01,-1,2020,"Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux. Ce magnifique appartement de 2.5 pièces se situe au 3° étage et a été construit avec de très beaux matériaux et se compose comme suit:Spacieux séjour donnant sur le jardin d'hiver de 6,8m²- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle- Salle de douche avec douche italienne - Une spacieuse chambre à coucher de 19.6m2 avec armoires murales- Stores électriques- Entrée avec armoires murales- Loyer net : CHF 1'600.-- Charges: CHF 200.-- Total: CHF 1'800.-Adresse: Place de la Gare à 1020 RenensPlus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou",3,71,-1,1600,454320
525,https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-375701,375701,Immobilier,46.5351072,6.5795312,Place de la Gare,1020,Renens,www.omnia.ch,2020-08-01,-1,2020,"Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.Ce magnifique appartement de 2.5 pièces se situe au 3° étage et a été construit avec de très beaux matériaux et se compose comme suit:- Spacieux séjour de 29.3m2- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle- Salle de douche avec douche italienne- Une spacieuse chambre à coucher de 14m2 avec armoires murales- Stores électriques- Entrée avec armoires murales- Loyer net : CHF 1'400.-- Charges: CHF 140.-- Total: CHF 1'540.-Adresse: Place de la Gare à 1020 RenensPlus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou",3,49,-1,1400,454318
526,https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/pilet-renaud-locations-443/residence-etudiante-studio-meuble-environ-18m2-1er-etage-375752,375752,Immobilier,46.5278624,6.5659898,Avenue du Tir-Fédéral 92,1024,Ecublens,www.pilet-renaud.ch,2020-03-01,185,2003,"Dans résidence étudiante studio meublé d'environ 18m2 au 1er étage, pièce principale, cuisine équipée, salle de douche avec wc.",1,18,925,740,0331.041020
